text,label,notes
NTA - your friends should have some empathy for the less fortunate,judgment,
NTA. Narcissistic friends are not friends and have no time to support you.,judgment,
"NTA - Not only is your friend an actual money stealing thief, she's an emotional thief too",judgment,
NTA she and anyone who sided with her is insane,judgment,
Obviously NTA. She isn't a friend and neither are the people supposedly giving you grief about it,judgment,
First I'm sorry to hear about your cancer diagnosis. Sending you a big virtual hug. NTA your friend sounds selfish and needs to get her life together,judgment,
"NTA, silver lining, you've learned early on that you can never rely on her for emotional support. Probably not for anything else either.",judgment,
NTA and this person isn't your friend.,judgment,
NTA. They are just young and still through the phase where they think everything non-conforming is embarrassing. You're good,judgment,
"Also, his body his choice to know his skin tones limits to sun exposure and wanting to protect himself. GF is overstepping NTA",judgment,
They think everyone will be judging them. They haven't realised yet that nobody gives a shit.,reaction,
It takes ages to figure that out for a lot of people. I recently saw a video of a guy who laid down on the floor of a huge train station to prove nobody looks at you. Nobody stopped and stared.,reaction,
Feels more like insecurity on their side than anything actually wrong with your choice.,reaction,
I agree 100%. This screams peak teenage insecurity. They'd rather let him get a massive sunburn just to fit in. It's really immature,reaction,
"Seriously, you grow out of that mindset so fast in your 20s. He literally dragged himself out in a bad mood just to make his gf happy, and her response was to style police him.",reaction,
"NTA, if you want to wear a t-shirt while swimming what's the problem? Being protected from the sun is a very fair reason. Why do they care so much?",judgment,
I wear a shirt swimming for that very reason. I burn. I hate wearing it but it's better than pain and peeling skin.,reaction,personal anecdote
It's a placebo thing. Wet T shirts offer little or no protection from the sun. You get sun cream that gives good protection if you're in and out of water.,advice,
"NTA. But by the way, a T-shirt offers very little sun protection. For your next swim event, please get a SPF 50 rash guard.",advice,
There is a company called Nashie that does a button up swim shirt if you want something versatile.,advice,
Your gf doesn't own you. Imagine if you dictated to her that she further undress for the pool. NTA. She's not for you.,judgment,
NTA nobody cares what you're wearing but these are conversations that you shut down and I would not feel pressed to be nice about it.,judgment,
Your girlfriend and sister would be horrified over my swimwear. I wear SPF 50 swimwear that covers me from neck to wrist to ankle. Protect your skin from the sun!,advice,
NTA. Your girlfriend should at the very least respect your boundaries. You need to talk with your girlfriend about how this made you feel.,advice,
"In my area you have to wear swimsuits when going to pools, it's a hygiene thing. If this wasn't a public pool where t-shirts wouldn't be allowed, you do you. NTA.",judgment,
NTA for the shirt specifically but gentle ESH about agreeing to go to the pool in a bad mood. The excursion becomes about tiptoeing around your bad mood rather than the thing you're supposed to be doing.,judgment,
NTA. If the place allows t shirts then wear it.,judgment,
"Absolutely NTA. My fiance is pretty sensitive to the sun, and I encourage him to keep his shirt on because of how easily he burns. IMO, your gf is being inconsiderate",judgment,
"Baby no, as your internet mom you didn't ask for, this is worrying. Your body is yours only even in a relationship. Set boundaries and if she won't respect them, love yourself first.",advice,
"They're being ridiculous about something that doesn't have to be this complicated. Turn it back on them and tell them they need to choose different swimsuits, using their same logic.",advice,
There isnt a 4th other person in that pool or swimming centre judging you for wearing a shirt,reaction,
"Wait, so in your husband and brother-in-law's minds, you should apologize so they can come and live at a facility of which you are part owner? What benefit do you gain from them being there? NTA",judgment,
"NTA. This doesn't work out well. Your husband needs to understand that if you apologize for them to come back, they will feel justified in creating additional situations requiring your apologies.",advice,
"It's one of the worst ideas to involve family in your business. Best thing to do is to apologise that you didn't mean any disrespect, and tell your husband that's all you could do.",advice,
"That sounds like blackmail. Give us your condolences, again and again, or face the consequences of our thin-skinned immaturity! NTA",judgment,
"After all they've done, the idea of them coming back to your facility is nuts. You gave your condolences. Leave it at that, and let them find their own jobs.",judgment,
"Consider therapy before ringing the divorce bell. Once you say those words, you can't unsay them. Try couples therapy because you don't like how he lets his family treat you.",advice,
Info: Your husband wants you to apologize so people who attempted to damage your business and reputation will resume using your services for free?,reaction,"clarifying question, INFO-type comment"
He's grieving the loss of his mother and trying to reestablish a connection with his sibling. It's easier to tell you to fix it than currently accept his brother is a jerk. Grief is weird.,reaction,"explanatory/empathetic framing, not a direct verdict"
NTA. This is an example of people nursing a grudge. No amount of apologizing is going to help. They have decided how they feel about you. Tell your husband he can see his brother all he wants. But leave you out of it.,judgment,
"Nta, also dont let them come back to your facility. They seem like opportunist who are trying to use the grief to strong arm their way back in.",judgment,
"Info1: what was the misbehavior, what was the correction/punishment and what was the joke? Info2: did you go to other members of the family and offer condolences to them? Cause then it looks like you singled the boys out specifically and that's AH behavior",reaction,"INFO request, clarifying questions"
"NTA. Sadly, husband problem.",judgment,
Nta. Don't let them return to your facility,advice,
"You gave your condolences, more than once. Let your husband have the relationship he wants and leave you to your peace. NTA",judgment,
"I don't dare to have an opinion because I feel that there might be crucial info missing here. This is not about the apologies, but about the grudges you have among yourselves.",reaction,
NTA. You're right and he's wasteful. He shouldn't take any donations at all.,judgment,
"I don't think YTA for thinking it, but for saying it, maybe? I think it should have been a complaint to management for them to have a conversation with him directly.",advice,
Phone stores have regulars? Phone stores have regulars AND some of them are homeless?! This is the most shocking part of the story for me.,reaction,
"YTA. ALL you had to say was 'hey can you please clean this up some more? We don't want any bugs coming around.' He was being messy, not uncivilized. You ought to apologize to that man.",judgment,
ESH. You were cruel. You could have phrased it much better.,judgment,
"NTA. That man needs to clean up and learn hygiene at his big age and even after you said it, I bet he won't change.",judgment,
"Sounds like something your manager needs to take care of as this is negatively affecting your job. Slight YTA for your word choice, but this guy needs to be given rules to follow.",advice,
"NTA. Imho, you did him a massive favor. You brought to his attention unacceptable behavior, giving him the opportunity to correct this before it becomes a problem with people that matter to him.",judgment,
"I think it was a bit mean, but I don't think you intended it to. Try giving him specific examples of what to clean! NTA though, it is gross.",advice,
I think you figured out why he's homeless,reaction,
You feel awkward since it sounds like your work is going out of its way to help the fella. I think there's just a serious conversation in order about how he's having his needs met.,advice,
YTA. Um? He's fucking homeless. Of course he's cooking in the only place he can. That can easily be solved by telling him to take the trash to the dumpster instead of talking down on him.,judgment,
NTA You've asked him to clean up after himself and he does the bare minimum. He's also wasting a bunch of food that was donated to him. Does he even have permission to do this?,judgment,
"NTA. He's taken over the place and is a firm believer in gender roles - you get the honour of cleaning up after him. But you were harsh in your words, though.",judgment,
"Do you not have a manager or something?? This is disgusting, one of you just needs to throw the freaking trash out. I would have no problem telling your manager that there is food debris in your bathroom sink.",advice,
"There are more tactful yet still direct ways to say it, but I lean to NTA. That is a lot on you to clean up after and still gross for the entire store.",judgment,
"ESH I'm homeless currently, I understand using what few resources you have but ffs, he works there he has to show some semblance of decency. The uncivilized comment was wholly unnecessary, kicking someone while they're down.",judgment,
"ESH. He's the AH because he's taking food that could have gone to other needy people and throwing it away. You are the lesser AH because there's no need to be insulting, just tell him to do a better job cleaning up.",judgment,
"YTA. People go too quickly from 0-60, saying nothing to saying insults, when what they really need to do is be clear and up front about expectations. Should have said this is not acceptable, you need to do x, y, z. No need to use insults.",judgment,
INFO: Did you ask them outright for the schedule?,reaction,
Is your wife not immediate family? Did she have the schedule?,reaction,
"What are they, royalty with a security detail?",reaction,
"Yes, that is what I would have done as soon as I knew there was one. The family here makes no sense whatsoever that they'd create a schedule and not share it, then passive aggressively get angry later.",judgment,
"Seriously, it's like the family is trying to find a way to isolate outsiders, even ones who are eager to participate. NTA, OP.",judgment,
"Enjoying the irony that multiple people have asked if you asked for the schedule. NTA, sounds like they didn't like the natural consequence of their own inaction. I would be upfront for any future plans.",advice,
"Most normal, sane people handle things the same way as you and your family. Your wife and her family sound EXTREMELY toxic and not living in reality. They expect all to bow down to them.",judgment,
"Yeah, this is all your wife's fault. She could have provided you with the schedule she'd been given at any point, but she didn't mind leaving you hanging. NTA",judgment,
But isn't his wife immediate family? Why didn't he ask her for the schedule or ask her to ask for it. Something doesn't line up here.,reaction,
"Reading comprehension is not your strong point. He says he asked his wife and she didnt know anything either. After this they would be my ex spouse, no one deserves this treatment.",reaction,
"Why are people saying you're the AH? Come on now. NTA!! Your wife and her family are mad at you for asking where you're going next, why are they so irritated by you?",judgment,
NTA. You can't be expected to follow a schedule you were never given. Asking questions is normal; they needed to communicate their expectations instead of expecting you to guess.,judgment,
"Are you neurodivergent by any chance? I am and I haaaaaate not having trip details! NTA, unless you were being super obnoxious or rude with your questions, which it doesn't sound like you are.",judgment,
"Im absolutely not neurodivergent, and Id be frustrated to be banned from info. There is a huge chance that I won't go at all.",reaction,
"NTA. You may want to work on your psychic powers though, as you seem to have married into a family of mind readers.",judgment,
"On one hand, I can't stand people that ask incessant questions. However, any group vacation I have ever been on, we discuss what is planned for the next day so we can all be on the same page",reaction,
NtA Why didn't you get a schedule? Her family seems weird,judgment,
Please don't make their engagement about you.,advice,
I feel like there's a very good reason he had to deliberately ask OP not to show up and make it about themselves.,reaction,
"Yeah but, why did he even give the details of the proposal in the first place, if he never told OP how or when, then he wouldn't have had to go out of his way to ask her not to show up",reaction,
I was thinking the same. I knew my son was going to propose. He did not tell me not to show up. He also did not invite me to attend. I did not even consider showing up. This mother has been specifically told NOT to be there for a reason.,reaction,
"Right, what a weird take as a parent. I think there's some unhealthy attachment issues here.",judgment,
"'if I don't show up, no parent of hers will' - parents dont belong at proposals.",judgment,
Yup her daughter will be building an independent life with lots of experiences that her mother will not be privy to,reaction,
"My partner and I were mostly naked, and in bed when I proposed.",reaction,
You didn't mention whether you invited your mom or not.,reaction,
Exactly this! Also the fact that he specifically had to tell you to stay away kinda sounds like they're used to you making things about you OP. Please don't make this about yourself. It's definitely selfish if you show up. YWBTA,judgment,
The fact that your daughter's fiancé felt like he needed to preemptively ask you not to show up at a surprise proposal is a sign that you exhibit some boundary issues. YWBTA.,judgment,
Right? It's not like he asked you not to go the wedding. Proposals aren't always big family events. Sometimes they can be private and intimate.,reaction,
YWBTA. Parents do not need to be at proposals. You were specifically not invited. Don't show up where you weren't invited,judgment,
She is not going to listen to any advice given here. She will come up with her own reason why she definitely definitely needs to show up.,reaction,
"This isn't about you. It's a private moment for your daughter and her future husband. I'm begging you, don't be a JUSTNOMIL before they're even engaged. Celebrate with them afterwards like a sane person.",advice,
It says a lot that her fiancé had to tell you not to come. A proposal is not a family event. It's between the couple. Why would you be there? Why did you need to be told not to be there?,judgment,
I was thinking the same thing. What kind of parent would want to crash their kids proposal? You would have to be very selfish and completely self-absorbed to even think of inserting yourself into this event.,judgment,
Will you be wearing a white gown at the wedding also? Jumping in and grabbing the spotlight during the first dance? See how all these scenarios are obnoxious? So is showing up to her proposal.,judgment,
He respectfully came to you to ask for your daughter hand in marriage so respectfully don't ruin the surprise he asked you not to be there so just respect his wishes,advice,
Struggling to understand why you feel like you are needed there. Very odd,reaction,
'but I don't know if it's a selfish decision of me to show up uninvited' I think you know. YTA,judgment,
"YTA. This is about them, not you.",judgment,
Of course you're the asshole! This is about your daughter and her boyfriend. Your status as a single parent is completely irrelevant. Do not show up.,judgment,
"YTA. You are making so much of this about yourself and it shouldn't be. Unless explicitly invited, parents aren't present at proposals. You might want to really do some introspection.",judgment,
"NTA. This is one of those situations that warrants immediate discussion imo. First, he doesn't get to shame you for putting a baby down for five minutes. Second, he isn't pulling his weight as a father. This alone needs to be corrected yesterday.",judgment,
"INFO He Was in bed with you and the baby, right? So why wasn't he holding and entertaining the baby if he was done feeding?",reaction,
NTA. Is this your first child? He just sounds like he's a bit anxious and unfamiliar with how much you're supposed to watch the baby. If he felt sick because he was nervous that's understandable.,judgment,
Nta. He's a twit. His reaction is completely unjustified and is toxic.,judgment,
"NTA. Instead of trying to raise your anxiety and control your behavior, if he was actually worried about the baby he could have just watched, held, or cared for the baby for 5 gd minutes.",judgment,
NTA and it is normal to need a break. Tell him he is in charge once a week while you go for a coffee or whatever with friends.,advice,
NTA. Did he have a mother who was negligent or emotionally detached? I'd approach with curiosity and ask him to fully walk you through what led to him having the reaction he had then assess if it was logically reasonable.,advice,
"NAH. Did your partner overreact? Yes, undoubtedly. But it's very likely he's having some pretty severe anxiety over the baby. I would recommend either counseling, or getting him to interact more with other, more experienced parents.",advice,
"NTA. You don't have to be in your babies face every minute they're awake. If you needed 5 and baby was happily playing behind you, no drama at all.",judgment,
NTA. I'm a petty bitch and would spend a few days never looking away from the baby. Chores wouldn't get done. He would need to take the baby much more often so that I could do things like shower and glance at my phone.,reaction,
"NTA. Your partner is being dramatic, to say he is physically sick is pushing it. A baby doesn't need to be stared at constantly. You keep doing what you're doing. He's the AH, not you",judgment,
NTA I'm on my phone right now at 3:30 AM while baby is grunting in the crib trying to poop. A lot of the time there's nothing for us to do and staring at the baby is not going to change anything,reaction,
"Definitely NTA. Taking 5 minutes to decompress while your baby is completely safe and content next to you is a normal part of surviving as a stay at home mom, not a crime.",judgment,
He sounds like a selfish self centred arsehole,judgment,
NTA. He sounds misogynistic lowkey. I feel like men be lowkey resentful that they have to work while you get to stay home and do nothing. God forbid you need 2 secs to yourself.,judgment,
NTA. Your partner is manipulative af.,judgment,
NTA. God forbid you have a moment to yourself. You're with your child that you brought into this world 24/7. Your baby was fine.,judgment,
"To me, nobody is the AH! Both parents failed to recognize their own triggers and instead reacted, creating this conflict. I suggest looking internally at what caused you to lash out and have an open conversation with dad.",advice,
"Nah, you're fine. And so is he. It's a normal reaction from the dad, especially with first children. I'd say call the grandma for a few hours and go get some good dinner.",advice,
Your partner needs to spend more time helping you with the house and your child so you get some time to yourself. And 4 month old babies don't bite out of boredom or malice. Sounds like you really need a break.,advice,
"Take what im about to say so seriously. Whatever days off he gets, he has baby all day one of those days. You get to do whatever you want, who cares! Once a week, he steps up. No questions asked.",advice,
NTA. Your partner's reaction is weird.,judgment,
NTA you needs breaks and you were still caring for the baby if he was actually so worried he would have cared for the baby and let you have a minute of peace,judgment,
"NTA - actions have consequences. Never calling you back isn't them doing their best. They set the tone for your relationship, you're just following the new status quo.",judgment,
"Agreed. When you went to college, either they washed their hands off you out of negligence or they abandoned you to force you to be independent. Either way both have damaging consequences. They failed you when you needed them most.",judgment,
exactly it's just convenience-based parenting because the OP is physically right in front of them again. They want the authority of being parents without having put in any of the actual effort over the last two years,judgment,
Love isn't an intention or merely an emotion. It's an action. Tell your aunt how they took a 2 year vacation from you and that is not normal. Check if you are adopted.,advice,
NTA on your part. But the specific things you're saying they've started doing suggests to me that they are trying to get you into a financially stable position so that you can then move out.,reaction,speculative theory about parents' motives
"THIS. They want you set with a job so they can start asking you for rent or kick you out. Press them past the tears and rudeness accusations. If you're prepared for the consequences, you deserve answers.",advice,
"I would say it's not quite as maladaptive as this but the personal consequences are similar. They think they succeeded when OP went to college, and they think OP coming back is a regression.",reaction,
From bitter experience... they want her to move out or to support THEM.,reaction,
"Yeah that was my thought too, there not parenting her or even reconnecting, they want OP out and the time line for when that's happening.",reaction,
Sounds more like they need her to have money because they are gonna be moving in with her not worrying if she's moving out,reaction,
You're NTA. Unfortunately you also live under their roof. You should maybe try to have an honest conversation with them about this so it's not just a sore spot of tension while you're living with them.,advice,
NTA. They needed a reality check. Can you talk to them once everything calms down in a couple days? Like give each other space and then ask to talk.,advice,
Did they ever even attempt to explain why they basically ignored their child for two years??,reaction,
"NTA, tell your aunt what your parents have been doing, or rather, not been doing",advice,
"Let me guess, dad's speech was at a big dinner that involved extended family, right? You're not the asshole. And I have bad news. Try looking up how to gray rock during your conversations to keep the drama to a minimum.",advice,
"NTA. Their actions (or lack thereof) have consequences. They weren't there when you needed them, so they lost any right to have a say.",judgment,
Did their best? No. Not true. Next conversation is why did they ghost you?,reaction,
"NTA. You're not rejecting them, you're just not taking advice from people who weren't there for you.",judgment,
"Nta. But you're staying with them for free, so you're going to have deal with it to save money.",advice,
NTA. These jokes are all precursors to real actions that will occur. You're not overreacting. This isn't something you deal with when the time comes. You and your husband absolutely need to make that plan now.,advice,
"Exactly, your husband's solution by just dealing with it later is not good. He needs to stand with you and talk to his family as early as possible. NTA.",advice,
"I agree and his mother ought to know better too. Very disrespectful. As for ur husband, men don't have to push a watermelon out & experience post partum. They'd change their minds pretty quickly!",reaction,
"Your husband saying we will deal with it later could be a cover for you are too tired to put up a fight mode. Next OB appointment, talk it over with your doctor and get help in setting up boundaries with his family.",advice,
"NTA, and the comment's right! The real red flag is your husband's 'we'll deal with it when the time comes.' The plan has to be now, and it has to be him telling his own mother.",judgment,
"And the response to when Grandma has the baby, Grandma makes the rules? Then Grandma won't have the baby.",reaction,
Exactly this isn't about christmas it's about them already showing they don't respect boundaries and hoping she'll just give in later,reaction,
"Anyone who's asking you to host a large family gathering when you're due/past-due/post-partum doesn't love you. Tell your husband to grow a spine or gtfo. During delivery, inform the nurses you want no visitors.",advice,
Heck I'd say to mention it at her next OBGYN apt so there's a record/timeline too.,advice,
"NTA. You have a husband problem. The last thing you need to be doing while freshly post partum is hosting people. Let the nurses know you don't want visitors, they will handle it.",advice,
"By not dealing with it now, hubby is allowing his family to rule. To do list for hubby: grow a spine, put your wife's well being ahead of your cowardly need to put off dealing with your family.",advice,
May I also add one to your list? The next time he says the word 'dramatic' he gets to sleep on the couch. No mother wants a house full of people and guests coming and going while you're 8+ months pregnant.,advice,
Tell your husband he needs to deal with this with you NOW! Or it's going to snowball and they will run right over you,advice,
Husband needs to deal with this YESTERDAY. NTA at all.,judgment,
"Fuck that NTA you have a husband problem. His responsibility to keep his family in line. Don't back down, don't be a doormat, hold your ground and have a very firm conversation with your husband.",judgment,
NTA. The biggest risk is everyone travelling and meeting the unvaccinated baby. Newborns barely have any immune system. Ask your OB if she can help provide any resources on newborn care.,advice,
"Who told them to pre-emptively assume they were coming? NTA, they can get a refund or points whatever the airlines offer.",judgment,
Oh honey. This family is stomping all over your boundaries and you need to put a stop to it right now. Tell your husband he needs to protect your peace and your health.,advice,
Tell your husband of his family comes you'll be having your own staycation elsewhere just you and the baby,advice,
NTA and your husband needs to tell his family to back off right now. It will only get worse the closer to birth you get and he needs to enforce the boundaries you set as a couple.,judgment,
"No, you deal with people and their attitudes NOW so they won't have a leg to stand on later. BTW, the hospital will absolutely respect your wishes for the birth.",advice,
No one should be seeing a brand new baby at all after travel. NTA. Your child's life depends on your ability to set these boundaries.,judgment,
"While first time parents can be a bit crazed at times, you're being reasonable. Your husband needs to shut this down now. NOW! He needs to lay down the law.",advice,
NTA. You have a husband problem. He needs to shut his family down when they stress you out. They are his circus. He needs to step up.,judgment,
"'You don't do that to blood' goes both ways, like not stealing from them, like not putting them in this kind of situation. She knew what she was doing. YWNBTA, she already was TA",judgment,
I had to scroll too far to read this. Why is it always 'you don't do that to blood' when it's in regards to consequences? What about the transgressions? YWNBTA OP.,judgment,
Just want to let you know the comment you replied to is top comment now!,reaction,
"However, being NTA doesn't mean mom won't kick you out and grandma won't cut you off, so have a plan for what to do if that happens.",advice,
"Fellow ADHDer on medication here, call the cops. It's illegal to steal ANY prescription medicine from someone. Call the police, otherwise she'll probably keep stealing your meds. NTA.",advice,
In the bud*,reaction,
OP is between a rock and a hard place. They could very well be financially cut off if they do this. Obviously NTA though.,judgment,
Your mom and grandmother have interesting values by saying you don't do that to blood. What about what your mother did to you? After all you are blood too.,reaction,
"Doesn't seem like she was down until she got caught. As someone who takes controlled meds, file the police report.",advice,
"Your mom's an addict, your grandmother is an enabler. If you don't report the stolen meds you'll be enabling her too. She will never get better while people shield her from consequences.",judgment,
"YWNBTA. If her addiction is active enough that she's stealing meds from her adult child, are your younger siblings REALLY safe with her?",judgment,
"Seriously, why is no one else talking about the other children. OP, you need to file a police report to get your prescription. Whatever happens to your mother after that is the consequences of her actions, not yours.",advice,
"YWNBTA, but you have to be prepared for them not to forgive you, even though you are in the right.",judgment,
"You're off for the summer semester. It'll suck, but split out the 24 you have left and only take it when you NEED it. Sometimes you don't get to do the right thing because of the consequences you end up with yourself.",advice,
"File the police report. If she doesn't have a record, the chances of her ending up in jail are small. Your family is asking you to join their club and enable her, please don't. NTA",advice,
Your mother is an addict. She has overdosed before. File the police report and let her face the consequences of her actions. She will be ordered into rehab.,advice,
"NTA they're your meds that you need and that you shouldn't take breaks from without consulting your Dr first, file the report.",advice,
"You can file a report and then tell the investigator you'd prefer not to press charges. Or you can basically live handicapped all summer, sometimes addicts NEED consequences to stop their behavior.",advice,
"NTA, I think, but you Mom is an addict and needs consequences. I would maybe tell her first, and say I am sorry to do this but I need my medication.",advice,
"Yta - I treated them to their own abilities. Then, you should have had SOME requirement for your younger son. I would look carefully at the other expectations you have set between your sons.",advice,
What got me was the part where the older son had to help the younger son with his school work to even reach the 3.1,reaction,
"Yeah the younger son had some help and there's no pressure from the parents. While OP is not wrong for rewarding the younger son too, the reward shouldn't be greater than the older son's.",judgment,
This. I seriously doubt OP paid the older kid for the tutoring time and efforts either. Strong golden child vibes about the younger son,reaction,
It sounds like what they are actually rewarding is that the younger son put in the same or potentially even more time and work. That's the sort of thing you can fix with a sit down conversation with the older son.,advice,
"Speaking as an older, talented sibling, it's always deeply enraging when parents set lower standards for my younger sibs without acknowledging that they set grossly unreasonable ones for me.",reaction,
YTA. Your oldest didn't have an easier time. He had higher expectations his whole life. You rewarded the brother who had lower expectations. Common dynamic. And sad how often this happens.,judgment,
"Bingo. Having been the oldest with the highest expectations, it was literally never an option for me to not achieve. Now they're over 30 years old and their life is still 100% funded by the parents.",reaction,
Oldest kid dynamic. A classic. YTA. You arent rewarding hard work really. You only gave one a measuring stick.,judgment,
YTA. This is such a slap in the face to the older son. I don't blame him for being furious. The very least you could have done was buy the younger son an older car.,judgment,
Right he tried to justify buying the newer car before even fully showing US the Car,reaction,
You could hand me a 10 year newer Ford Taurus and I'd still be pissed to not have the Camry.,reaction,
I think you should take your oldest sons reaction as a starting point for a deeper conversation. Just because someone is performing well doesn't mean it is actually easier for them.,advice,
"YTA. I think you're downplaying the amount of work your oldest put into, not just getting a 4.0, but helping your youngest get a 3.1.",judgment,
